Timestamp,Random Number,What are things that make you glad to live in Grinnell?  ,What things have the greatest positive impact on your quality of life in Grinnell? ,Tell us about a time when you felt particularly connected to the community or proud to live in Grinnell.,Think about a time when you felt particularly connected to the community or proud to live in Grinnell. Tell us.,"Do you think Grinnell has a set of core values? (e.g. what is important, what we believe, principles guiding our behavior) What do you think they are? ","If you have considered moving from Grinnell, what are reasons you decided to stay?"," If you do not currently live here, what changes in the community might cause you to move to Grinnell?  ",Have there been things that have made you consider leaving Grinnell? What were they?,What things have frustrated you about living in Grinnell?,"What things do you think Grinnell is missing – that would benefit you personally if it had?
 ","If funds were unlimited, what changes would you make to improve Grinnell?","If you do not currently live here, what changes in the community would make you more likely to move to Grinnell?","Tell us about you or your group. 
(club affiliation, profession, service group, etc.)

Were you recruited by someone to take the survey? Who?",What aspects of the Grinnell community (positive or negative) do people NOT talk about?,Are there questions we’re not asking that you think we should? Is there anything that you would like to share that you have not?,,Do you live in the city of Grinnell?,"If you are a student, please tell us where"
12/9/22 19:30,103,,"My friend group, community organizations","Raising money for various charitable causes, serving on boards",,I think there are conflicting core values in Grinnell,Family and friends ,,"Yes, Status of school buildings and school amenities, lack of restaurants and shops, close minded, hateful people who are anti growth and change ","That the majority of people can’t seem to support it or agree/work on how to keep it healthy - many are against progress and most of the college professors and students don’t interact with the community, that the college pool isn’t open more hours for community swim, that there’s not enough retail demand to keep buildings downtown full so the college is moving in","Way more restaurants, both fast food and sit down, more stores, nicer big grocery stores (like Newton’s Hyvee), a spa or more massage therapists (postels was a huge loss) a larger work force, and most importantly new and updated school buildings ","Build new schools, add more housing developments and apartments, add more restaurants and things to do, like a smash park, upgrade infrastructure in general, make Grinnell more like Pella",,Gncsd employee,"Our wonderful park system, great opportunities through parks and rec and the countless volunteers that keep all sports running, both how much the college does for the community and how much more they could do, especially with funding for new buildings, all of the great programming at the public library ",,,,
12/9/22 20:55,104,"Proximity to all locations, number of parks, college amenities, proximity to bigger cities  ","Rolling hills, quiet atmosphere, Dari Barn",Jingle Bells downtown ,,"No - I think core values are drastically different depending on college vs. townie personnelle, not collective  ","Quiet, simpler way of life ",,"Yes - the expectation that you belong to a church here, and the lack of community outside of that ",Restaurants closing down. Dependency on Wal Mart ,More local food sources,"Sports complex, capitalizing on the fact that we are right off i-80 between two major cities. More food and amenities closer to the highway.  More trails! ",n/a,Veterinary ,Lack of diversity - excluding the hispanic population ,More summer activities for children - More childcare for parents in need. More foster families needed!,,,
12/10/22 11:06,105,"No traffic, mostly friendly people",The people,Thursday music in the park plus farmers market,,Unsure,Housing prices,,Racism from some people,Poor school board choices,1-2 more restaurants,New middle school is desperately needed,I live here,,Racism,No,,,
12/10/22 13:13,106,"I am not a “big city” person so I am appreciative of the less busy nature of the community, roads, stores, etc. I appreciate the relative quietness of living in a small town. I like recognizing others when I am in town.","Lack of pollution (air, noise, traffic). Feeling like I know people…without knowing everyone (anything smaller in population would be too small).",That is tough…. Not sure that “proud” is an appropriate word…there were many “missed” opportunities where I appreciated a small sector of the community coming out in support but I can’t think of a response.,,"No. This is one of my frustrations of Grinnell..there does not seem to be a shared vision for what Grinnell should be or what it’s priorities are. It isn’t like other small towns in a collective community engagement collaboration, coordination of activities, embracing of functions regardless of sponsor, support for college and K-12 schools. As an example of communities where this is more apparent - Pella, Creston, Mt. Vernon, Solon…to name a few.","Job, kids being rooted with friend groups, cost of living, cost of moving",,"Racism, hate/acts of hate, lack of a small-town feel (community), lack of a destination downtown (minimal vendors and food establishments with quality food options)…shops downtown do not lend themselves to just “strolling” on a Saturday afternoon. Again, look at Pella as a model, Oskaloosa, Mt. Vernon, Creston….we need an independent bookstore, more places like Smokey Row, the Peanut Cellar, a sandwich, soup & salad shop. ","See above…lack of these things. Lack of coordination of events…no sports commission to coordinate athletic/sporting events, races, concerts, youth events, programming for the v
Large retirement community - the Vet Center project is a money suck. What we need is a community center where there are regular activities for the retirement community that doesn’t necessarily live at Seeland, St. Francis or Mayflower. The lack of quality restaurants is very frustrating…minimal diversity of restaurants. 
Also that the same 12 people seem to have there hand on everything from City Council, to Ahrens Board and all of its affiliates, the College.","An independently owned bookstore. A recreation Department with an eye toward adult activities - pickle ball, running group, etc.",Repair all of the crappy sidewalks that make it very frustrating for anyone to navigate on foot. Repair the roads to make them easier/better for cars and bikes. Add wider road so cyclists could safely use bikes as a mode of transport to and around town. ,N/a,College athletic administrator,"Racism, socio-economic diversity…",Money cannot buy a sense of community. We need to focus on building a community as a human space of relations as opposed to building a community with “things”.,,,
12/10/22 14:00,107,"Low cost of living, short commute to work, lack of traffic, clean air, relative safety.","Low cost of living, short commute to work, clean air.",Can't think of any.,,"No, Grinnell is too politically divided to be able to say it has a core set of values.",I stay in Grinnell because of my job.,,"Although Grinnell has a low overall crime rate, as a petite female and an obvious ""outsider"" I don't always feel particularly safe out in public here, especially since I have continued to mask long after most people have stopped.",Bigotry. All of the Trump/Pence 2020 signs with Pence's name ostentatiously cut out after January 6. People who speed down 6th Ave. without mufflers late at night. The fact that the city doesn't enforce the ordinance requiring people to keep their sidewalks passable in winter. The end of curbside recycling. The lack of mask-wearing and general safety precautions during the height of COVID. The constant water main breaks. The condition of the roads and sidewalks. The broken city water softener. ,"I know this isn't financially feasible, but it would be nice if more specialized medical care was available in town and one didn't have to drive to Des Moines or Iowa City for care so often. Mountains, a botanical garden -- anywhere scenic to hike other than Krumm. A mini golf course. ","Just tear up ALL of the 100-year-old water mains and replace them all at once, warning us well ahead of time before water will be out on our block.",n/a,I am faculty at the college.,,,,,
12/10/22 18:07,108,"Location to family, the pretty downtown. ",Hometown,Growing up here. ,,"Not really, I believe they cater to the college more than residents","Moved away, only came back due to family",,"High taxes. Lack of affordable modern housing, lack of restaurants and retailers.  The attitude of several city leaders. ","High taxes, roads in disrepair, businesses closing with few new ones to take their place. Cares more about college than everyday citizens. The city manager trying to run the town based on his assumptions of what is politically correct. ","Nice sit down restaurant, clothing, household retailers (other than Walmart). ","Immediately Repair the streets, water softener system, and the veterans building. Create more activities for people to do, such as skating, miniature golfing, etc.  Recruit businesses. ",,,,"If we continue to cater to the college and losing tax money on the property they purchase, everyday people will not be able to afford to live here. In many people’s opinion, This town appears to be dying. Yes the college is important but it should not dictate how the town is ran.",,,
12/11/22 11:26,109,Great restaurants for a small town. Safe community. Clean downtown area.,"Community events, small town with a few larger town amenities.",,,,,,Taxes and housing prices higher than near by communities such as Newton. Larger towns do offer more.,"Street lights, can’t go for a walk with your family after 5pm safely. I’ve never lived in a town with which little lighting. I have to walk around the college campus if I want to walk at night since it is well lit. ",A good coffee shop. What we have tastes like dish water.,"Add more than one street light per block! Add an outdoor workout area at Ahren’s park. Pull-up bars, peg boards - with the CrossFit gym closed I think that would draw people. Some communities do grants to help home owners with lower income to improve their exterior of homes on busier roads. That could make grinnell look better to visitors.",,,The weird political divide feature a few years ago in the New York Times. People tend to fall into their own group and think they are better than the other. There isn’t much “openness” in the community. People stand on one side or the other and don’t care to interact with the other side.,,,,
12/11/22 12:14,110,"Having Grinnell College here, low cost of living, low crime, easy/quick to get around town, nice people, active community organizations.","Low cost of living, Grinnell College (as an institution and the individuals it brings to the community)",When we're actively participating in a large community event (like theatre shows or concerts),,"Short answer: no, not in a cohesive way.  We think there are a few different sub-communities within our town, and those have distinct core values from each other.","Low cost of living, family also living in town.",,"Devaluing the public schools, inhospitable actions toward some groups/identities, generally not much to do.","Boring food options, lack of sidewalks in some places, the occasional ""not in my back yard"" attitudes.","More INTERESTING food options (not just more). International food options like Indian, pho, sushi, south american.","New school facilities, bike lanes and sidewalks everywhere, additional affordable housing options, plant thousands more trees, fully funded school programming.",N/A,,"The reality and prevalence of poverty and houselessness within our community, the difficulty of being a single/unmarried adult",,,,
12/11/22 13:03,111,"Small town vibes, community activities","Enough stores/services to meet my daily needs, safe neighborhoods, community activities","Friday fest, getting to talk to community members and friends and enjoy live music and other activities",,Encompasses the small town morals of supporting local and being nice to neighbors pretty well,Never considerd moving but if I did it would be because there’s not enough activities for young professionals to get out and do and meet other community members,,Not really,Taking away Friday fest and summer activities,"Maybe some fancier restaurants, we have lost a few the last couple years. More development out by the interstate. We are missing out as a community by not expanding that space out there","More downtown parking, more retail/restaurants/development by the interstate",,Farmer,,,,,
12/11/22 13:55,112,"Job opportunities,Businness


","parks
",,,,activities,,,road construction,more small businesses,,affordable housing,,business rent too high,,,,
12/11/22 17:19,113,,,,,,,,,there is nothing to actually do here,places where teens can hangout at ,places where people can enjoy their lives,,,,,,,
12/11/22 18:42,114,The people! We have found community here through friends and opportunities to connect with community members. There are many options for recreation in the community and through the schools. There are options for shopping locally and good restaurants. ,Connections with others. Activities in the community that get people together. Ways to both volunteer and also just spend time with others. When our children were younger we loved the SummerFest activity and the Grinnell Games. Community events are where so many different people can come together. ,"Helping at PALS with our family, opportunities through our church to provide community service. Seeing others come together during the deracho to help out and assist neighbors. ",,,"Friends, kids are currently in school-wouldn't want to uproot them. ",,"I miss living in a community that supports their local schools. It is so sad to me that we have not passed a single school bond in the time we have lived here. I don't think we would have moved here if I knew that was the future. We lived in a community that passes every bond and is constantly making improvements before there are major problems. 
I miss a bigger community sometimes-where we lived before. I have felt sad sometimes that it seems to always be the same people who are involved in community service, but I suppose that is any community. ","Loss of local restaurants is sad. 
Also, the perceived divide between those who are not associated with the college and those who are. I hate that! I hate that when people complain about or blame the college for any issue. I dislike that people don't see all the benefits of being a college community and how so many programs and businesses would suffer without the college's focus on community involvement. 
Not passing a school bond the entire time I have lived here. ","I wish our indoor recreation center had a walking track that wasn't blocked by all of the other activities that go on there. (upper level track). 
More restaurants.
A dog park. 
Annual summer event (like Pufferbilly Days, Tulip Time, Sauerkraut Days-other town examples)
More Central Park events
Sidewalks! 
Bike Paths that are complete","Well, I would want to repair our schools! They are old and outdated. Our facilities for our young students are embarrassing. 
Dog Park, Add Restaurants, Indoor recreation center with upper level walking track, add sidewalks and bike paths. 
",,,,Thanks!,,,
12/11/22 19:06,115,small town feel but several necessities are available,"church, location to surrounding cities, Grinnell Mutual",when my kids were involved in school activities,,,,,,The college has a huge influence on many things including the schools and they don't represent the majority of community members. The expense for unnecessary things by the interstate like the brick on the new interstate bridge pillars and the lighted Grinnell signs. The lack of snow removal on the city streets.,More bar and grill type restaurants even fast food options,,,teacher,,,,,
12/12/22 7:37,116,"Not to big but not too small, location to other cities, caring community, beautiful downtown, diversity with the college , ahrens park facility access ","My friendships, ability to make a living wage","Everytime I can share our community with others who live in other parts of state, community play productions",,"Yes, golden rule in general ","Yes, to be closer to family. Employment opportunities in other rural parts of state pay less, community did not seem as robust ",,Not recently ,Our school buildings are not up to par when compared to surrounding towns,"NEW K-5 elementary, the middle school is also dismal","Updated schools #1 priority. More fast food eating choices (three have closed that I know of), more daycare options for families, some sort of ""smashpark"" facility. ",,Healthcare worker ,"The housing market is ""high"" but our schools facilities are not. The college campus is beautiful,. hospital facilities far better than marshalltown and newton",,,,
12/12/22 8:10,117,I enjoy the small down but frustrated that we cannot bring new dining places to the community.,access to groceries,Having our youth participate in 4-H and FFA and our county fair.,,"No, I feel it is hard for change in this town.",We stay because this is where generations of our family have lived.,,Lack of change and the ability of outside investors to help grow our community,,Restaurants,"modernize our town. Rec facility, new trending restaurants",,,,,,,
12/12/22 9:08,118,Born and raised here. I am happy there’s not a high crime rate in this town.,,,,,,,,Kids need more to do. ,"I think Grinnell needs a good (sit down or call in and take out) home style cooked meals that are healthy! Mc Donald’s is OUTRAGEOUSLY priced and very unhealthy! Put in a tasty taco, Chinese buffet like panda garden, a nice steakhouse would be awesome! This town needs healthier options. ","I would definitely pave all the way around Arbor Lake. I’ve been walking around there since I can remember, I was a toddler, and it’s always a muddy mess. I know that now that I take care of a lady in a wheelchair, It would be nice to be able to push her around the lake instead of only halfway because I can only get her on the paved part. At Ahrens, it’s too hilly for a wheel chair but at least one or the other walking paths in town should be handicap accessible, and since Arbor lake already halfway is, someone might as will make the rest handicap accessible and leave the hills at Ahrens Park for the people that want to walk them. Makes sense to me. I’d also put a splash pad at Ahrens Park, I’d paint inspirational quotes all over the bathroom doors in all the schools. I’d paint the school bathrooms because they are all depressing and look institutionalized, I’d have awesome tiger graphics painted on the walls in the hallways, really make our schools looks awesome so that when other schools came for activities they’re like wow! Which is exactly how I felt when I went to Newton‘s new middle school a few weeks ago. What a nice school to be proud of! I would do more as a town to make it a tighter community like I would definitely have like a three day fall festival. I’ve seen other towns do it and they have awesome events. I think they’ll be a good way to bring the community together. I love the fact that you guys do music in the park in the movie on Friday nights and concerts downtown but there could be a lot more that could be done. Like right now there should be a Santa somewhere in town for people to come visit like daycare’s, Day camps and nursing homes would love to go visit a Santa. I know this probably has nothing to do with you guys but when the movie theater has the free merchant movies, they don’t do it a very convenient times. They do it on the weekends. Well I’m sure some daycare‘s and day camps and nursing homes would love to take their residents and students and clients to see a movie but they only do it on the weekends and at noon which is lunch and naptime for toddlers and elderly. You asked, sorry. 🙂 definitely more restaurant options out by interstate so they GOT BUSINESS AND WOULDN’T GET SHUT DOWN!!! Tasty tacos, sonic, Texas Roadhouse, Applebees, something!",,,"Drugs, kids not having anything to do, criminals, bullying is a HUGE problem in middle school!!! Probably all the schools but the middle school is rough, 
Not enough counseling in the evenings for kids in school that needs to see counselors",Better looking tiger apparel to support our town! They need a Tiger apparel store and designer of clothing! ,,,
12/12/22 9:24,119,"Small community, great people, positive experience with schools so far, playgrounds and family events, always striving to improve","Great people, schools",Attending community-wide things like Jingle Bells Holiday,,"I imagine we do, but do not know what they are. However, I imagine they would support community and kindness","We actually moved TO Grinnell not that long ago and I can't imagine leaving. I love running into people around town, having such a positive group of people here, great job opportunities at the college, etc.",,No. I'm very happy here.,"Hours of operation for businesses. Example: I couldn't mail some UPS packages this weekend. I had prepaid labels, so only needed to put them in a drop box or hand them off to get them mailed; however, they were too big to fit into the drop box on 4th and Total Choice doesn't have weekend hours. I will have to run a separate errand today to take them to Total Choice.

I'd also love for Drake to be open on Sundays and for some family/community events to take place on Sundays. As it stands, since we're a family where both parents work outside the home, we have to cram in all of our ""fun"" - events, library, etc. - into Saturday. There isn't much to do in town on Sundays, especially when it's cold and parks aren't a fun option.",See above - places to go and things to do on Sundays in town,"The West Street stretch can be a bummer - the road isn't in great shape and vacant buildings, like the old KFC location, are frankly depressing to see. 

Again, longer hours on some businesses/community centers (e.g. Drake). 

I'd also love to have less tension between the town and the gown. I know that the college is working on this and I'm so glad they are, so I'm hopeful that this will help. 

Bringing back the dog park would be great. I understand it was difficult for PALS to maintain itself, so absorbing it as part of the town would be good.

When my family moved back to town last year, a lot of things still require physical forms, checks, etc. to get up and running. For example, getting my dog licensed required going to town hall, you can't subscribe to the local newspaper online, etc. Modernizing services - or at least the transactional side of services - would be really nice.

Small, nice houses in the <$125k range. We're trying to convince my in-laws, who are on a limited budget, to move here but there simply are very, very few options for them that aren't derelict. ",,Grinnell College (staff),"There are periodic incidents where diverse populations are made to feel uncomfortable. I've heard a story of some Black families trying to work with the local schools to get a DEI staff member, but the schools ended up with a white woman and in part because of that, some Black families moved away...I don't know more beyond that, nor the degree of truth in it, but I can imagine that happening. The racist incidents on campus come to mind, of course, and I appreciate the town's show of support in addressing it. I recognize that it's difficult to embrace diversity when there simply isn't much around - and most that is here is already largely connected to the  college, which is already an ""othered"" population - so I genuinely have no ideas how to advance this one.","No, but I am so very happy that you are asking and that this initative exists. It warms my heart and gives me so much hope about making Grinnell where I will raise my family and stay for the rest of my life.",,,
12/12/22 11:28,120,None,How willing people are to listen to us.,When we saw the students at the college protesting against capitalism,,"No, we believe you are all capitalist pigs",Wanted to stay and promote the ideology.,,,Too many capitalists,a commune,"More public transit, a collective ownership in all businesses, and universal healthcare.",,Communists of Grinnell Iowa,,,,,
12/12/22 11:38,121,small size,knowing people,events at Central Park,,helping each other,I own a house and it's paid for. Low housing prices - too expensive to move elsewhere.,,Leaving Iowa. Lousy weather and lack of geographical features. ,"Some lack of retail. Good restaurants closing, no new ones opening. Too many sandwich shops.",More live theater - Grinnell Community Theater doesn't produce enough plays.,sidewalk improvements,NA,,"Grinnell is a close-knit but welcoming community, although recent racist incidents are troubling. I've seen Confederate flags, too.",,,,
12/12/22 14:52,122,,,,,,"Yes,  it is too clicky. Çollege is too involved and no voice if you aren't the elite in town",,Yes school system. ,"We can spend all kinds of $$ and little or no return. We can spend money for a new central park, but can't raise money to build new schools.  Old $$ town"," A better school system, better teachers, more things for the kids and families to do",New schools,,Parent,,,,,
12/12/22 15:28,123,"The population size, the location, the accessibility, the community relationships.","How kind and friendly the community is, healthy food choices, ",Being in the 4th of July parade.  My wife is the Grinnell HS Dance Team coach and I had the privilege to drive the Tiger Paws in the parade this past year - which was nice to see the community support for the town and businesses. ,,"I believe equality, inclusion and innovation is important to the town of Grinnell","Family, connections, community and hope for what Grinnell can become in the future. ",,Lack of restaurants and young adult social activates.  ,"Lack of restaurants and young adult social activates.  As a young adult, seeing no attractions for other young adults to move to and/or move back to Grinnell. ",Restaurants and young adult social activates,"More restaurants, addition for young adult social activities, and create apartments and business out by I80 in a plaza form. ","More restaurants, addition for young adult social activities, and create apartments and business out by I80 in a plaza form. ","Hi- my name is Darius Bradford.  I am a new chiropractor in Grinnell and preparing to start a clinic with my wife, Sydney Bradford, who is an acupuncturist - in March 2023.  We both attended Central College in Pella, Iowa.  For the past 4 years, my wife and I lived in the Twin City area in Minnesota for graduate school.  We decided to move back to my wife's hometown to provide value from a holistic health approach within the community and to serve in any sort of capacity.  We love to support the local community. ",Not sure. ,"No - I look forward to seeing what Grinnell becomes in the future.  I am very eager to bring value to the town of Grinnell from a holistic health approach with my wife and I's chiropractic and acupuncture clinic and eager to bring forth other ventures and ideas to the town of Grinnell.  Overall, excited to engage and become part of the community.",,,
12/12/22 15:31,124,I like living in a small town where I grew up.,Lack of crime,GHS Homecoming and 4th of July ,,"Not like there used to be. People used to be more neighborly, in my opinion. People were not as busy and attended more community events. ",My parents and many friends live here. ,,The town seems to be going down hill due to the infiltration of drugs. There are not as many shops and restaurants. The quality of the school facilities and education is down. There does not appears to be as much pride in homes. ,Why can't we be more like Pella or Oskaloosa. The lack of restaurant development along the interstate.,Places to shop for menswear.,I would invest in restaurant development downtown and along the interstate. I would complete renovation of the structures downtown and replace all infrastructure. There needs to be more one-family dwellings. I would condemn / demolish homes where needed. ,,,Drugs and homelessness,,,,
12/12/22 20:36,125,"Community band, good restaurants, fantastic medical care, good retirement facilities/care centers, beautiful parks",,"2020 GHS graduation banners of seniors downtown, concerts and events in Central park",,,,,,Lack of support and even opposition to bond issue for building schools,We’ve lost a lot of restaurants- I’d like to see several locally owned ones open up,New schools! New restaurants! More assistance to families that struggle to put food on the table,,,Low income families and their needs,We need to support our schools and teachers or we will not have a future.,,,
12/14/22 9:46,126,Just the right size town for me,We have enough retail stores to not need to drive to Des Moines or Iowa City. Also a nice downtown. ,Farmer's markets. ,,Everyone is welcome. ,,,None,"Condition of my road on my street, Prairie Street",Nothing comes to mind. ,Improve all roads. ,,,I don't get out much. ,Appreciate the chance to voice my opinion. ,,,
12/14/22 16:22,127,"Love the small community atmosphere, lack of traffic and great people.","For a small community, the fact that we are home to a major college provides us with a more comfortable array of services than many small towns this size have.",Seeing the great numbers of townsfolk that attend the Homecoming Parade - not something that happens in most small communities.,,"I do, but sometimes feel that they may be slipping.",No,,The occasional issue around hate actions (our grandson that lives with us is black).,Frustrated over the grocery store options - frequently go into Newton or DSM.  Gas prices that reflect the lower prices that are around us.  I have concerns that the medical options are not great - from hospital to family practice providers.  I have had good experiences taking family to emergency room and horrible experiences at the same emergency room.  That is scary when my family needs care!," Comfortable - like the fact that we are getting more housing that will bring in more residents, that will support our school districts better, that will make us a better location for quality fast food outlets, etc.
  Also feel that Grinnell needs more family practice physicians not hired by the hospital.  I'm sure it is difficult to set up practice, but most current FP are not taking new patients.",Fourth Avenue to the hospital needs repair - very uncomfortable for people in ambulances (husband's experience).  Better timing for stop lights - do not need to operate all night without a night-time setting.  ,n/a,Academic Dean at Iowa Valley Community College Grinnell,"I get this feeling that there is a divide between ""college"" people and ""the rest.""  I don't think we talk about it, and don't hear much about it, but concerned that it seems to run through the community and pop up every once in a while.",,,,
12/15/22 13:34,128,"Tight-knit community, friendly people. ","Lower cost of living, low distance between amenities and my living space. ",Saying hello to people and being a regular at places!,,Yes. I believe it is tight-knit community and creating happy healthy lives. ,Sense of place and community. ,,Extremely limited options for renting/living spaces. I am grateful to be earning just enough to no longer qualified for assisted living programs but because I am nowhere near earning enough to consider taking on a mortgage I have few to no options on where I live.,Difficulty of biking around (especially safety on the highway when I need to get somewhere) and lack of nice living spaces.  ,Small dorm style living apartments for younger people. ,"I would buy some farmland near the town center to convert into a community of small, unintrusive living communities such as tiny houses. I would take a look at the barely used office spaces to consolidate who needs/wants an office to make room at the old glove factory for instance to turn into apartment spaces. Really just easier ways to find housing. It is astounding how expensive and rare housing is here especially if you move in at the end of the summer. 

Having said that, respect for the town and environment and community needs to be kept in mind. It would be a disservice if someone were to build massively tall, bleak housing structures. Surely there must be a way to create truly inexpensive, non-industrial housing for people that really only want a studio apartment to live in. ",,"Working at the college, living in the town.","I worry that the college is barricading itself from the townspeople; both physically (walls encircling the central campus from the rest of the community, lack of parking lots for townspeople to be able to access community buildings) and communally. I am saying this having been a student at the college and working there right now. There is a tension and dichotomy reinforced by how the college spends and does not spend its money/where its intentions are set.","I hope there will be some consideration for sustainability in a more thorough, complete sense. By this I mean I hope there will be thought of restoring native landscapes to better soil, water, and air quality rather than building massive buildings that are somewhat more energy efficient than other buildings. For another example, I like to imagine a community that grows gardens for all to be able to eat rather than some sums of money being sent to non-profits to figure out a way to approach this same problem.

I hope this project aims to address community culture and not just material buildings. Is there a way to loosen building restrictions to allow for cob homes and rainwater barrels? Can unused lots be turned into community organized gardens? ",,,
12/16/22 9:17,129,"Vicinity to my hometown and family, small town, the few small businesses left in Grinnell",Fraternal order of eagles and the collaboration we are able to do with other areas of the community. ie MICA meals ,"When our community helped donate over $37,000 to a State Charity project for the Eagles. As a small business owner, when the owners met to talk for ideas how to gain traffic in our section of down town.",,"I am sure there is some, but not aware of what they are.",Our location to downtown and the places we frequent as well as the setup of our home,,"taxes, city council decisions, lack of eateries, the actions of other community members and city members, lack of things to do with in community for no kids",The ability for some groups to be allowed to build how and when they want. The lack of attention to the building care when built (ie spaulding). The lack of street maintenance (think riding a motorcycle) The use of a specific groups being a guide to build a building which does not directly benefit them. Not having places to frequent to eat for a variety of foods and then the help lacking in numbers.  ,"Ability to advertise within the Chamber and not have to be a member. An overall community board if you will for notifications. The cost for a small business is not worth the fee. Picking up recycling again. Cost of downtown rent to be lowered (i realize that is set by landlord, but a help to lower it would bring in more smaller businesses)","Becoming a Homebase county. Places for people to attend with their dogs (safely)  A building to allow small business to setup their own small area with lower rent. I have talked to a lot of people who would like a ""store front"" but cannot afford $600+ for rent. This also would be nice for myself included just getting ready to start out. More times for the lazy river to be open for exercise and the pool season to be open a bit longer. ",,"Fraternal Order of Eagles, Business Owner, Civilian","The poverty and homeless. I have heard and seen people who may be in need of help. I don't know if that is means for a shelter, a community member to reach out what that is. But it seems like there is more and more conversations this is brought up in. The fact there are small business owners who want to populate the town, but because of rent costs mostly, are not able to bring that to the community. Being at the last couple vendor fairs, there are some creative entrepreneurs out there young and old. I dont know if there is a grant to fund or based on sales to pay for rent to keep building running and maintained. I know that seems a bit unfeasible now days, but a thought to help get those with a dream a place to start and keep in our community. These are those we need more of. This town has lost a lot of those as you know.",To help understand those who would like a business front and the reasons why they do not or feel they cannot. ,,,
12/16/22 13:15,130,"community events, friendly people, beautiful downtown","thriving businesses, fun events accessible to all/many, access to quality and accessible healthcare","Saturday mornings the 3rd week at Sts Rest when Too Many Strings Band plays, Grinnell Games",,I would like to see Grinnell have core values with education. We have a world renowned college and yet our community will not invest in our public schools repeatedly and over many years. Valuing education and children would be top of my list to build a stronger Grinnell.,Our family and friends,,"low pay for teachers & school staff and severe lack of respect from community, divisive/hateful rhetoric and actions against people different than white male",refusing to support our schools and staff,"an indoor pool for lap swimming, lessons without it being connected to the college. They have a gorgeous facility but the hours are limited and it's very cold; like a YMCA for social and physical engagement","large indoor recreation for all including a pool, a large lake with lakeshore properties where all forms of boating is reasonable without restriction because it's too small or polluted",,teacher,"many do not realize how incredibly generous people in this community are to making it better and better. They also don't realize that this town is also so successful because of the college being here. It was here before it was even called Grinnell. It brings beautiful diversity this white, middle American town desperately needs. We have thriving businesses and non-profit organizations because people are generous and put so much into making Grinnell great.",I think it's important that people ask themselves - what am I doing to make Grinnell great?,,,
12/16/22 18:00,131,"small enough, feels safe, opportunities, farmers markets, great people",knowing so many people helps connect us,"Felt welcomed here when we moved from a rural farm setting due to farm bankruptcy in 1984.
Also really appreciated (4 yrs ago) when my mother found a place to live with dignity and excellent care at Windsor Manor.",,Welcoming community that can embrace differences. Trusting in the goodness of humanity. Lending a hand to those down on their luck.,no desire to move yet,,No,It appears that people don't or won't shop local as much.  Too much looking for easier & cheaper.,"a mercury-free & fluoride-free holistic dental office. a homeopath.  functional medicine doctors. ability to get cannabis & Ivermectin & Hydroxychloroquine as needed.  Aldi's store, or more organic foods.","See above, plus free mental health care, & plenty of med beds (coming into our future reality soon). Good organic food for all. Tons of jobs that people love because they are helping fulfill important needs of other people. Reformed education, pre-school through college. More opportunities for artistic endeavors of all kinds. 
Trees trees trees & preserved areas of nature.",I live rural Grinnell,,"homelessness, hunger, mental health needs that feel out out of reach because of cost, our whiteness",Grinnell College has typically been a huge attraction and benefit to the town. But I feel the College's covid response was good-intentioned but wrong-headed. CDC has been lying from the start. We fell for it. I'm sorry about that and I hope we Grinnellians get time to grieve our losses and bounce back with creative and innovative solutions. We will!,,,
12/16/22 19:21,132,I am glad we have a smaller school district ,Working outside of Grinnell.,We've been in Grinnell about 5 years and don't feel especially connected to Grinnell.,,"I don't think so. I think Grinnell thinks they do, but kids are not valued or there would be a better school than Bailey Park. The 1st day I walked my son into school he couldn't get over the smell in the school. The kids deserve better.","At the point, the only reason we haven't moved is the hassle of moving itself. I don't see the community investing in the future.",,Yes. Goods and services have left town since we've moved here. The price of housing and gas is higher than adjacent communities.,The lack of support for the kids/schools and a town that pushes downtown events with no parking. Whatever is being built right now should be a parking lot.,More restaurant options. Better schools for my children. Gas that is .30 cheaper per gallon like a town 18 miles away.,"Schools, roads, create parking downtown, family fun center.",,,"I don't think people talk about what I've picked up on is a war between the pro college people and the anti college people. Shouldn't matter, just be community people.","I can say if something doesn't change with the school system, we will move in the next year. I would rather move while my kids are young and it will be easier in them.",,,
12/16/22 19:33,133,,Family.,,,No.,Family.,,"Racism, intimidation, retaliation, bullying, threats against children, teachers, school, disrespectful treatment of Veterans...","Racism, lack of morals and values, societal threats, disrespect, intimidation, retaliation, bullying, insufficient mental health services...",,"A roof over the fairground's horse arena. 
Grave markers on the unmarked graves where the poor are buried.
Sufficient healthcare for everyone.
A livable wage for the working poor.
Expanded mental health services, for all schools and community.
Update water/sewer system and streets throughout the entire town.
Tear down unsafe, dilapidated buildings.",,,The illegal/immoral things that the wealthy do.,,,,
12/16/22 19:35,134,Nothing,My friends,No time,,the schools trying to make us quiet and scared to even ask questions.,Im to young,,Everything,Everything,The activities,A lot ,everything,I work at Hy-vee. ,How we know lmost everyone in this town at all times,no,,,
12/17/22 17:23,135,,,"When there were strong local businesses, but many have been lost in the last couple years.",,,,,,"One of the city's priorities has been building up the sidewalk infrastructure, but they have done a very poor job of accomplishing that. ",,,,,"NEGATIVE: The overt influence of the college in the high school curriculum, such as diversity, equity, and inclusion.",,,,
