Random Number,What are things that make you glad to live in Grinnell?  ,What things have the greatest positive impact on your quality of life in Grinnell? ,Tell us about a time when you felt particularly connected to the community or proud to live in Grinnell.,"Do you think Grinnell has a set of core values? (e.g. what is important, what we believe, principles guiding our behavior) What do you think they are? ","If you have considered moving from Grinnell, what are reasons you decided to stay?"," If you do not currently live here, what changes in the community might cause you to move to Grinnell?  ",Have there been things that have made you consider leaving Grinnell? What were they?,What things have frustrated you about living in Grinnell?,"What things do you think Grinnell is missing – that would benefit you personally if it had?
 ","If funds were unlimited, what changes would you make to improve Grinnell?","If you do not currently live here, what changes in the community would make you more likely to move to Grinnell?","Tell us about you or your group. 
(club affiliation, profession, service group, etc.)

Were you recruited by someone to take the survey? Who?"
132,I am glad we have a smaller school district ,Working outside of Grinnell.,We've been in Grinnell about 5 years and don't feel especially connected to Grinnell.,"I don't think so. I think Grinnell thinks they do, but kids are not valued or there would be a better school than Bailey Park. The 1st day I walked my son into school he couldn't get over the smell in the school. The kids deserve better.","At the point, the only reason we haven't moved is the hassle of moving itself. I don't see the community investing in the future.",,Yes. Goods and services have left town since we've moved here. The price of housing and gas is higher than adjacent communities.,The lack of support for the kids/schools and a town that pushes downtown events with no parking. Whatever is being built right now should be a parking lot.,More restaurant options. Better schools for my children. Gas that is .30 cheaper per gallon like a town 18 miles away.,"Schools, roads, create parking downtown, family fun center.",,
133,,Family.,,No.,Family.,,"Racism, intimidation, retaliation, bullying, threats against children, teachers, school, disrespectful treatment of Veterans...","Racism, lack of morals and values, societal threats, disrespect, intimidation, retaliation, bullying, insufficient mental health services...",,"A roof over the fairground's horse arena. 
Grave markers on the unmarked graves where the poor are buried.
Sufficient healthcare for everyone.
A livable wage for the working poor.
Expanded mental health services, for all schools and community.
Update water/sewer system and streets throughout the entire town.
Tear down unsafe, dilapidated buildings.",,
134,Nothing,My friends,No time,the schools trying to make us quiet and scared to even ask questions.,Im to young,,Everything,Everything,The activities,A lot ,everything,I work at Hy-vee. 
135,,,"When there were strong local businesses, but many have been lost in the last couple years.",,,,,"One of the city's priorities has been building up the sidewalk infrastructure, but they have done a very poor job of accomplishing that. ",,,,
136,"walkable, nice people, lots of trees","walkable, nice people, lots of trees (not sure how this question is different from the first)","Seeing Too Many Strings band at Saints Rest, or seeing the movie called Saints Rest",Welcoming to new people moving here or visitors,"Closeness of everything: the pool in summer, free performances & art at college",,Obscenities shouted at me by people driving by.,Obscenities shouted at me by people driving by. (not sure how this question differs from first one),"More, better restaurants. A second coffee shop or place to read/meet friends. ","More, better restaurants. A second coffee shop. (Not sure how this differs from previous question.) ",,citizen
137,The warmth and caring of the people who live here. Access to the college,Safety and great people,,"I used to think Grinnell had shared values, but now I think the we are much more divided. Red vs Blue",Family,,"Quality of the water, lack of variety of restaurants and shops. Healthcare","Quality of water, lack of choices in retail and restaurants. Pella is thriving with a wide variety of restaurants and shops. It would be great to get more of that here.",An affordable gym like planet fitness,"Building better schools, more city planners. I feel like we need to add new thoughts and ideas to become a better city. ",,
138,Easy to get around. Close to work,Walk to work. Proximity to DSM and Iowa City,Fourth of July parade,I think there are two sets: College and town. College: what’s good for the college is good for the town. Town: humph ,My job keeps me here for now,,Not enough restaurants. No Trader Joe’s or Starbucks. No yoga studio. Lack of feeling included/invited into the community ,Not enough restaurants. No Trader Joe’s or Starbucks. No yoga studio. Lack of feeling included/invited into the community (Repeat on purpose),Another coffee shop. More restaurants. Better produce. A yoga studio,I’d open a yoga studio and bring in better grocery options,,Grinnell College staff and town resident
139,,,,,,,,"No Dairy Queen, Dari Barn is too expensive! ","Dairy Queen, Culvers, indoor water park ",Build a Dairy Queen & Culvers here so we don’t have to drive to Newton. Have an Indoor HEATED pool open for swimming year round. ,,Nurse 
140,"Small, walkable, nice parks",Parks,,Not good ones,,,The racist incidents ,Terrible animosity between townspeople and College,more sidewalks and streetlights,"More sidewalks, more parks, more light",,
141,The College,"TyTy's Nails, McNally's, Prairie Produce, Saint's Rest",N/A - just moved six months ago.,N/A,Lack of commute.,,"UnityPoint's total inability to hold onto good physicians, particularly primary care.",Racism.  Entitled attitude from country-club set that expects the College to pay for their amenities.,"General auto mechanic, better primary health care, diverse mental health providers, more variety of restaurants (particularly 1-2 open on Mondays).","Invest in the health care system or lobby UnityPoint about the primary care desert in Grinnell.  Mental health services.  I have heard horror stories about counselors bullying, discriminating and otherwise treating people very badly if they are not white, heterosexual, Christians.  Some kind of low or no interest loan program to encourage landlords and owners to improve run-down houses.",,Grinnell College
142,"Close to work, affordable homes, low cost of living",Short commute and affordable housing,,,Being close to work is important to me,,"Lack of variety of restaurants, access to specific types of gyms, and variety of outdoor spaces",Conservative values and bad restaurants ,Regular transportation to Iowa City or Des Moines (especially to the Des Moines airport),"Increase services for mental health, addiction, and add airport shuttle or rideshare service ",,Grinnell College professor
143,,,,,"cost of l;iving
",,"racism, sexism, anti semitism, anti immigrant, anti LGBTQ, anti single, anti ANYTHIING I identify with.  really, anti anything but a white cis norm christian family","willful ignorance, all of the above, and people who don't clean up after or keep thier dogs from barking.  and the absurdly timed lights on west/146.","fewer undying racist trump supporters, oh- and can we please3 get rid of the gun factory?",money can't fix willful ignorance.,,
144,"Convenience, easy access to friends, no commute to work, simplicity of life","small community, possible to work and take care of life","The Stew, farmer's market, Saint's Rest encounters.",No idea any longer. Election results in 2016 shocked me. Inability to push through school reforms a negative. But there is friendliness and hospitality in the community even so,"Convenience to school, work, life. ",,Lack of restaurants and good food. Lack of community events during school breaks.,"In the past, it's been hard to get out to the airport with family if leaving for long breaks. Diversity of food offerings. Need at least two more cafes. More places like the Stew that bring in town and college members.",Answers above,"I would bring in 3-4 good restaurants, car rentals and taxi service, build the music studio that's in the works, extend Makerspace, have more workshops, talks, skill building events in town. ",,faculty
145,While Grinnell is a small town it also has a lot to offer especially through the college. I can get most everything I need in Grinnell or via the internet. I am glad I don't have to drive in traffic every day and I can walk or bike most places. The town is well maintained.,It is important to have an excellent medical facility and good doctors in Grinnell. The public school system was good for 3 of our 4 kids.  Access to college events and resources is a plus. ,"During the derecho -- everybody pitched in to help each other.  No one asked your political affiliation, they just came by with their chain saws and cleared the roads and sidewalks.",I think of J.B. Grinnell when I think of the town's core values.  I think his anti-slavery stance would today be seen as supporting diversity in the town of Grinnell. His opposition to the use of alcohol could be seen today as support of clean living -- living in a healthy and morally acceptable way.,"Our children live on the East coast, and we would really like to live closer to them.  But it is so much easier to live in a small town than a large city, not to mention how much more expensive housing would be there. ",,The only reason to leave Grinnell would be to live closer to our children.,"I am frustrated by the racism in Grinnell. Almost every person of color I know who has lived in Grinnell has experienced some sort of prejudicial treatment. Who are these racists? I wish there were some way that those of us who aren't racist could show our support in an overt way. Much less important, I am sometimes frustrated by the lack of restaurants, but it hasn't bothered me since the pandemic -- we don't go out to eat anymore.","More restaurants, more bike trails. ",I would put more support into the public schools. ,,I am a retired librarian from the college. I play bassoon in the college band and orchestra and the community band. I work on the Poweshiek History Preservation Project at Drake Library. I am regent of the local chapter of the Daughters of the American Revolution.
146,"close to everything, no traffic problems, seldom stand in lines for anything, clean air, wide open spaces, friendly and helpful people",available recreation and health care,when I attend music in the park,"it is progressive and willing to make changes, tries to be the best community it can be for the citizens","the feeling of comfort, security, and connection I have here.  it is home",,sometimes the products or services I want aren't available here,"sometimes it seems too small, and everyone knows your business",more diversity of shopping ,"make funds available to fix up or clean up derelict properties in the city, especially along the corridors that visitors enter the city",I live here,individual
147,"Walkable and bikeable distances to work, services and household needs; arts, culture and athletic opportunities offered by the college; medical services including hospital and general practitioners; size; climate; members committed to community service; trees, parks and architecture; summer and afterschool educational options for children.",Same as above.,Recycling and repurposing efforts; disaster response: neighbor helping neighbor; charitable food distribution.,No.  There are many different people and some are more committed to the community than others.,Same as question #1.,,Political animosity; racial animosity.,"Lack of water treatment (the hard water is costing us in our plumbing and appliances); limited dining options; reduced recycling services; wish I could support local businesses more, but Walmart's prices and availability are too competitive.","More dining options, especially some fine dining and some ethnic and vegetarian; sidewalks; better water quality.","Resume curbside recycling; replace the water treatment equipment; replace, repair and install safe sidewalks throughout town; find a new owner/operator for the Depot Restaurant; ",,
148,Do not live in Grinnell but rather 8 miles South West.  REaly have no desire to live in Grinnell ,Quality businesses,,It is unfortunate that many people and organizations in Grinnell have taken an adversarial approach to modern agriculture ,,,,,,,,Agriculture  Jasper county Farm Bureau
149,I commute to Grinnell. I am glad to spend my days here because it is walkable between work and downtown. I am a new-ish staff member and people are enthusiastic to share recommendations with me about restaurants and coffee shops to visit in town.,"So far, I have especially appreciated the public library and the food options at McNally's.","As a native Iowan, I am most proud about the efforts Grinnell is doing to revitalize the town and provide a strong community.","hm, I am still learning this because I am new here.",I am not considering moving to Grinnell at this time.,,,Hearing about the racism and bias incidents towards college students and other community members.,,,,"I am a staff member at Grinnell College, I commute to Grinnell."
150,"Friendly people by and large. Diversity caused by the college. Various social, arts, and athletic activities and events.","The arts, friends, physical environment, little traffic",Involvement in family art-related events. ,By and large it would be mutual respect within a diverse population.,Family connections,,"Richer cultural, restaurant and entertainment opportunities in large communities.","Occasional lapses in mutual respect, but that's not unique to Grinnell. Community support for the school system infrastructure is weak.",More restaurants.,"Subsidized staffing for strong community programming in the arts, education, and athletics. 
Support for local restaurants to encourage diversity of experience.",not applicable,
151,Small town feel and what Grinnell College brings to this community.  The community is very generous.  People give time and time again to organizations like the hospital or for projects like city swimming pool and Central Park renovations/improvements.,"My job including client relationships, friends, recreation and entertainment opportunities ",Helped spearhead the expansion and renovation of the Strand Theater,Grinnell has a lot diversity but I think being true to our small town rural roots is at the heart of our core values,"Not really.  Job keeps here along with my folks who live at Mayflower, and my children are both within a day’s drive ",,"Not really.  I love this community, but I am concerned when young minority families leave the community in order to put their children in school situations they are more comfortable with.  I’m also a little frustrated with the diversity and quality of available housing options.",The number of restaurants that closed over the last 5 years.  Can’t get a school bond issue passed which we desperately need. ,More entertainment opportunities including more restaurants to chose from.  A better selection of affordable housing.  ,Set up a fund to help entrepreneurs start up and expand businesses.  Build more affordable housing.  Plant trees in the downtown square.  Establish a strong economic development structure to encourage businesses to locate here.,I currently live here,Business person in Grinnell who also grew up here
152,Being able to know/feel connected to so many people.  Friendly downtown. Walkable.  Pretty good recreation opportunities. Excellent library.  Good public safety resources.  Reasonable driving distance to larger places & things to do.  Stability.  Accessibility of local government.,"Extent to which destinations are walkable.  Friendliness of all merchants and service providers  -- sort of a small-town feeling of closeness and local responsibility. Honestly -- huge impact from the resources of all types that the College brings to town:  Jobs, investment in their campus, investment in the larger community in so  any ways. The huge commitment & dedication of our Prek-12 education community:  They are the bedrock of a community that values its youth, and they knock themselves out every day for our children.",Working together to host RAGBRAI,"It's core value is to be very cautious about change, and I think that's harmful. Maybe there's too much attachment to the ways things were, taking it beyond a quaint marketing point.  Community is really slow to accept new people, new ideas, or change of any sort.  It's one thing to be cautious, it's another to be obstinate and obstructionist, and we often veer to the latter.  I understand that people want to respect our community and always be able to recognize it; but being unaccepting of new/different ideas or people of any sort is counterproductive to our functioning and to our image.  ","Stability.  Job. Been here over 30 years.  Inertia.  I do now think more about moving when I see Iowa (not just Grinnell) moving so politically right, and ignoring quality of life issues like education, the environment, public resources, and the experiences of the normal person (in favor of corporations). My kids will never move back here to live.  If I ever have grandchildren, I will need to go out of state to see them.",,"When the racist elements flare up  ever once in a while, that makes me think more.  Those elements are always here, but they are more recently emboldened.  Even in the police department.  That's so sad.  We're so far behind many other states in our common understanding of some difficulty and divisive issues.","The schools. Those working in the GN district are doing hard work and are thoroughly invested in our children.  They need the community to step up and match their investment. The community elements that hold back opportunities for our children by not funding a new building, and never seeing the need for any changes, are really frustrating.  We're comparing so negatively now even to neighboring districts. When a community prioritizes petty personal grievances, or a desire to stay in the past, over the well-being of our district and its ability to serve children long term, it's distressing.  We can't keep living like it's 30+ years ago; yet, some people will never allow us to move beyond that.

Then the little stuff, exacerbated by the pandemic.  Lack of access to services and service providers, on a number of levels.

The unwillingness/slowness of the community to tolerate any sort of change or difference. I understand being cautious and prudent.  Our  behavior goes beyond that.","Protected bike lanes/paths.  More trees.  We have great recreation areas and opportunities, but they would be easier to enjoy with more shade and wind protection.  If we could do something about the manure odor that is increasingly present (air quality), that would be awesome.  Taxi service, Uber, or something like that.  ","New schools, better resourced schools. Public transportation for kids. Public transport for elderly and other non-drivers.  Protected bike paths.  Fix all the sidewalks and curbing throughout town. Bury electrical lines so we aren't so much at the mercy of the weather.  Provide mental health services within the school district.  Have free school lunch for all children.  More care and recreation opportunities for children of all ages, in town.   Dog park.  Fix up dilapidated houses.  A bigger work force.",,
153,"Access to college pool and all it has to offer, outdoor pool, downtown hanging plants, recreation, safety, Stew Center, bikeability, well maintained, good services, farmer’s market",Access to indoor and outdoor activities physical as well as mental ,,"Yes, community/belonging, opportunity, arts, beauty","Nice community, safe, affordable ",,,"Restaurants closed on Mondays, see below.I like to run on the streets would prefer blacktop to cement ","Curbside recycling and composting, shuttle service to the DSM airport, more restaurant diversity",,,
154,Size,,Ag day,No,Family ,,Nothing for families,Lack of family activities,"Kid friendly venues i.e. skating, bowling, swimming.",Ymca,Family friendly venues,
155,"Community, Safety, Public Spaces","Walkability, Nice Parks + Playgrounds, Calm",,,"Job, general satisfaction.",,"Too small, isolated","Recent restaurant closures (Lonnski's, Michael's, Relish, etc.)",An upscale restaurant,"More sidewalks, more outdoor lighting",,
156,"Sometimes its size
Cost of living ","The college 
Kids activities —- studio 6, library
Aquatic center 
GARC",When the school district decided to have in-person AND add Covid mitigation strategies ,People say Iowans are “nice” but often it’s a very superficial nice. For ex I’ve never met most of my neighbors ,Job,,"School buildings are in POOR condition.  Classrooms make using new teaching techniques difficult to use.
Downtown isn’t very appealing: too many empty spaces and too many vanity businesses. It’s impossible to shop for everyday needs there. Restaurants are subpar
","See above
Small mindedness of some 
Teenagers making trouble downtown and in parks ","More weekend activities. Residents complain about the College’s influence in town but without there’d be even less to do 
Pilates studio or classes at GARC, etc
An indoor playground
A senior center unconnected to retirement homes ","See above
Better street lighting
More biking lanes
Indoor aquatic center
Activities for teenagers —- for kids who aren’t in sports or involved in school clubs, etc",,College affiliated 
157,"It is walkable.  It has more great parks than many other communities I have visited.  Easy to drive around.  Lots of friendly and helpful people.  The library is attractive and well equipped and staffed.  Friendly staff always available to help and to obtain something if Grinnell doesn't have it.  City government that tries hard to address needs, listen to constituents, make things happen and follow through which is not always easy when emotions run high over a particular issue.  Active historical museum.  Great small town newspaper.  High School that provides many good opportunities for its students especially considering.  In many ways it is better than a larger school that might have some things that we don't, but the opportunities would be rationed because a given activity can only handle a certain number of students.  Some very nice stores.","Walkability, drivability, library, newspaper","Just recently Central Park and the Christmas lights that I could see out my window.  How wonderful that Jennifer had an idea, the city was willing and others pitched in to help.  It is beautiful.  In the fall we had a family reunion, and everyone stayed at Hotel Grinnell.  It was so nice that they just parked their cars and walked everywhere.  Many hiked around Arbor Lake, ate at Prairie Canary, toured Grinnell College.  The California contingent especially had a great time.","I think we do, but I don't think they are necessarily unique to Grinnell, and I think that while we generally value family, education, personal individuality, and everyone regardless of status or attributes that we also have differences about how we should live those out.  I also don't think those differences are necessarily a bad thing, but they can be stumbling blocks.",I have not considered moving.,,No,Policies of some elementary and middle school teachers all of whom are gone now.,"Really nothing.  Sometimes I might have said restaurants or clothing stores, but right now we seem to have a good number.",I would paint and repair any of our old homes that need it.  I am thinking especially of houses built prior to 1900 or in the very early 1900s.,,I am retired and live at Mayflower
158,The thrift stores and restaurants ,The availability of activities downtown ,I would like to see more community events and gatherings downtown like block parties or festivals. ,No,,,The lack of things to do and places to go downtown ,The lack of things to do and places to go downtown. ,More community events like block parties and festivals downtown. Perhaps a Christmas market with vendors. ,More community events like block parties and festivals downtown. Perhaps a Christmas market with vendors.,,
159,Clean and pleasant community,"Specific businesses in Grinell, core values of residents",Community support for families that have suffered a crisi.,"Yes. Honesty, hard working members.",N/a,,None,Schools,"Mainstreet businesses no longer include clothing stores,just services and second hand stores.","Grinell isn't large enough to get some of the missing businesses, but that changes the local dynamic. Grinnell no longer has any blue collar businesses to support families, it's all white collar jobs. Bring them back! Low rent housing doesn't draw good blue collar employers.",N/a,Resident
160,"I don't live in Grinnell, but I spend over 40 hours per week here!  I love seeing people I know when out and about.",Being able to dine out and enjoy music with my friends and co-workers.,During large community events,I like our affiliation with the prairie,not relevant--I own land in the SE corner of Poweshiek County,,n/a,"Again, I don't live in Grinnell. Having worked in Grinnell for almost 10 years, I have seen a decline in retail and food options.",I think college students and the community would benefit from a 24-hour eatery near campus (like the recently closed Hardees). I hear students talk about going to Kum and Go for their late night needs.  It would be a safer and more communal experience to have a place to work/eat/drink coffee/connect. ,"I think the SE corner lot of Highways 6 and 146 (currently an art installation) would be an excellent place for a small footprint but tall (2 story) botanical center. Lots of light, interesting architecture, water features, warmth, sunlight, plants, ambient noise. Winter is long and hard--this would be an accessible option for all ages to enjoy, and would be an interesting attraction for people coming from out of town or passing through.

I would also love to see an overpass (ideally enclosed, like a skywalk) over highway 6, to connect campus to downtown. We know it's not a safe situation currently, and this would provide not only a safe option, but also would be another attractive architectural feature to make the town of Grinnell stand out.","I wouldn't move due to owning land, but I feel that Grinnell is my community even though I don't live here. I am invested in supporting small businesses and participating in the community.",Dean for Academic Success at Grinnell College
161,"Downtown park, college events, school and community music/arts programs, walkability","school music and plays, college events, church","attending middle school jazz band or high school plays, music in the park, the farmers market, the homecoming parade",No,"We have considered moving, especially when the school bonds failed.  It is a huge disappointment to me that I ended up choosing to raise my children in a community that does not value their education.  To be honest, if it felt possible for us to move after that, we would have, but we felt we could not with the job my husband had at that time.  In addition my kids (now middle school age) do have connections and friends here that I would not want to disrupt.",,School bond failures.  2016 election.  ,"When the community chooses not to invest in schools or the downtown.  when I hear people complaining about the college, as if the community would be better off without it.  When people drive by the college with loud engines to harrass students.   When it is difficult to buy something and we have to make a trip to Des Moines or Iowa City.","Support and welcome for people of color/immigrants.  An alternative school setting that would allow my sensitive, anxious child to succeed.  More restaurant options. ",I am a broken record- I would build new schools asap.,,
162,"Size, Grinnell College, ","Family, friends, Grinnell College, church","Community events like 4th of July, school & college events",,Family ,,No,"Inability to pass a bond issue for improvements 
for our public schools in Grinnell","Retail downtown, golf course swimming pool, ","Finance the new Grinnell Historical Museum at 703 1st Avenue, build or upgrade schools",,
163,"Restaurants, the Drake Library, Banks, the 3 grocery stores, the parks & variety of businesses, & the friendly community..","Restaurants, Grocery stores, Walmart, Linden Auto, Pharmacies, Strand Theater, Hallmark store,  and Grinnell Bakery.","July 4 th parade, Homecoming parade, the schools for my grandchildren.","Friendly people mostly, Honesty, trusting, Helpful, understanding, caring & compassion.","Family here, and love the community.",,Employment and if family would move.,High rent & Costly buying houses & roads needing repair.,"Culver restaurant, another Ice cream business to give Dairi Barn competition and clothing store 2x-4x Women's Clothing, Steak restaurant & Chinese Buffet restaurant where can sit down & enjoy meal there. Lower rent for senior citizens.",Decrease costs for rent & housing. Improve streets.,See previous answers,Elderly Retired woman
164,"Small town , community ",Hospital ,During the derecho everyone pulled together ,"Sm town values, community, helpful, stepping up when needed",NA,,None,Loss of retail and restaurants ,"Restaurants, retail ","Community activities like mini golf, roller skating place, ",NA,Nurse
165,"beautiful parks, good library, community events, resources through Grinnell College",Community cohesiveness,the community coming together to help one another after the derecho of 2020,"It's superficial to apply a set of core values to an entire community, but I would say many people in Grinnell value community - positive, supportive relationships with the people they interact with in Grinnell","Job security, relationships with community members",,"lack of racial/cultural diversity, racial discrimination",people's denial of and/or indifference to racial and socio-economic discrimination,"more community leaders of color - teachers, council members, business owners, police officers, etc.",establish youth programs to benefit underprivileged/at risk kids pre-k through 12; offer educational/recreational events that promote diversity,NA,"I'm a lecturer at Grinnell College, I'm married and have 4 children"
166,"(Sometimes) the people, Jay's Deli, Dairy Barn, the new football field, a lot of free time, Rock Creek, Krumm Wildlife Reserve","Everything we need is close together in distance, sports teams, the teachers","The Pheasants Forever Banquet, Homecoming Parade/Game/Dance, Music in the park, Jingle Bell Holiday","Trying to be a good person, not stealing, no crime","Don't want to have to reacclimate to a new sports team, school, decent amount of extracurriculars, new school curriculum, friends, ",,"So small, school, controversial events at the MS, if you need to buy something there's limited options (Walmart), people getting shot, everybody knows everybody's business (over-connected), not enough restaurant options, don't like small towns",See above / school,"Target, Starbucks, Better shot put ring, Chick-fil-a, Culvers, Applebee's, updated school buildings, heaters in classrooms that don't start on fire, Texas Roadhouse, BWW, Arby's (More restaurant choices!), Home Depot","See above, a new track at the MS/HS",N/A ,HS Students (9th grade)
167,"Friends, family, tight-knit community, sport opportunities","School, social events, parks, workplace opportunities, small town feel","Homecoming parade and community events, football games, athletic successes, 4th of July holiday","Education, Athletics, Striving for Excellence","Friends, small town atmosphere, jobs, family, nature",,"Grinnell College's effect on cost of living, downtown parking","Lack of options for shopping and eating, lack of attractions","Stores/shopping opportunities, fast food/restaurants","Places to eat, attractions",,HS Students
168,Easy to get to things.  Not spread out.  ,"The aquatic center.  GARC, college, amount of parks, Ahrens' Park, community areas","Jack Taylor basketball performance.  Grinnell college, community activities, Kites over Grinnell, new central park, Music in the park, hospital","Support Diversity, value education, value hard work, value farming community","School System, community activities, hospital",,lack of middle income housing,"not a lot to do.  roads are terrible, lack of jobs, lack of housing","more restaurants,  trampoline park, cheaper gas, more entertainment,  better shopping, Better and bigger rec center.  indoor basketball court space, ","Update Ahrens' Park, Bulldoze GARC and get a better indoor facility.  bigger skate park.  new school buildings.  new and updated park equipment. (see new park in Waukee)",,Education
169,"-small population
-neighborhoods take care of each other
-college town helps keep us on the map
","-hospital and medical clinics
-variety of grocery stores
-access to services for fixing things
-four Casey’s!
-at least we have parks","-when influential people speak at the college
-music in the park
-community service projects
-school activity accomplishments
","-we have diverse population somewhat relative to other small towns
-our ag production is important to the local and state economy
-hmmmmm...it seems we don't have an explicit set of core values","-friendships
-activities available
-safety",,"-all the restaurants closing
-weather
-not a lot of activities to do / availability for all populations
-if there are things to do, it’s not communicated well to all populations","-some behaviors of college students
-trail systems are highly lacking
-weather
-driving behaviors of others
-lack of sidewalks/stop signs/and bad roads
-when the recycling went away","-recycling program
-more diverse restaurants or just more!
-turn Family Video into Chinese Buffet
-businesses to attract families 
-need a place for teens to hang out (like a coffee shop) that doesn’t close before 10 pm
-large fun place to play and hang out w/ family or friends - indoor/outdoor","-see above
-streets
-recycling
-update schools
-update parks
-finish a loop bike trail system
-update community gardens","-see above
-tourist attractions - fun things",A group of 14 11th grade students from GHS
170,Grinnell is a nice and clean town to live in. We really like how the college is in town and how the college helps the high school with funding such as our computers. Grinnell is also a safe town to live in which we all appreciate.,"Grinnell is full of nice people that are easy to make friends with. Also, the job opportunities the college gives the town has a direct impact on the quality of life in Grinnell.",We all feel High School and College athletic events is when our community comes together the most. We all feel connected and proud to our athletic teams. Jingle Bell Holiday is also a great community event where we all feel connected and proud to live in Grinnell.,"At Grinnell High School, we believe we value our education and it is important to us as a community. We also believe we value Diversity and equal opportunity.",Grinnell has a wide opportunity when it comes to sports due to our large school and large athletic program. This keeps a lot of students here because they like the diverse selection of athletics. Family is also another big reason some decided to stay. Many have family near Grinnell and would like to keep it that way.,,Some students feel that the school staff have a lack of action when a problem is addressed. This makes them wonder what other school staff is like and can lead to wanting to move.,"The high gas prices compared to other towns around Grinnell as well as the lack of entertainment here in Grinnell (i.e Activities, Restaurants, Fast Food, ect. )","Entertainment around Grinnell (i.e Clubs, Activities, Restaurants, ect.)","We would add a Mall to Grinnell for entertainment as well as more funds. We would also add a nice Rec Center for students to go to and have a ""hang out"" spot.",N/A,Seminar class at GHS.
171,"Small, not much traffic, Mc Donalds, not hard to navigate","Small business ie) Browns, Anna Kaytes, etc..., Nice places thanks to the college $$$, variety of groceries, ","Sporting events, State Teams, Central Park Events, Blue Ribbon Davis Elementary Honor - principal met Barack Obama","Volunteering & Community Service, Academics/ Education","Family, Jobs, Location and Driving distance, Less druggie than Newton",,"No good food options - Mexican or Pizza, the entertainment is expensive - Pool, Movies, Nothing new.",random road construction that lasts forever.,"Restaurants - nice sit down and fast food, Better Rec Center - GARC needs improved/updated ","New school buildings, ",Jobs,16-17 years old
172,"Low crime, bakery (food options), walking distance (close), many opportunities, Ahren's park (recreation), prestigious college. ","Ahren's park
High school
Education system (quality)
Pool 
Low crime
Multiple eating establishments
Consumer options (thrift stores) 
College funding
Dealerships (auto options) 
Community art","After leaving and seeing other communities, appreciated your community. 
Parades--uplifting
College-funding
College class opportunities","Politeness (midwestern) 
Agriculture affiliated
Collegiate affiliated
Independent viewpoints
Athletic associations
Familiarity (you know someone)
Tight-knit community
Family oriented
Religious belief","Friends and community
Eating establishments
Location proximity to services such as parks
Opportunities and funding",,"Not enough diversity in eating establishments
Not enough diversity (in general) 
Drug permeation into community 
Not as many opportunities as some other communities 
(not enough diversity in eating establishments)
Non liberal arts collegiate option","Not enough food diversity 
Some college outreach
Community projects didn't come to fruition 
Budget allocation (buildings become dilapidated and unused) 
School building quality
School funding (in general) 
","Food diversity options 
Other entertainment options (tweenagers) 
Options for teenager ""hang out/recreation/area or center
Sports complexes 
Bike stations (not working)
Public water (not working) 
Public restrooms (quality) 
Hygienic areas (cleanliness)
Public transportation ","Schools improvement
School lunch options
GARC larger (multiple types of ""fields"" uses, etc) 
basketball, track, field, etc (indoor)
More vending options (public areas) many are broken
Roads fixed more frequently
More eating establishments
More diversity in athletic opportunities (winter season sports options) 
Equal options for gender sports ","Update schools
More affordable housing options (clean and tidy) 
Tourist options (draw towards community) 
More diversity inclusion options (something to draw different types of individuals)
More diversity in convenience stores
Community bringing events (friday fest, downtown in Grinnell, etc) ","Band, choir, athletics, dance, speech, religious affiliation, debate, robotics, nursing home, HyVee, library. "
173,"1. We like that the college is here where they have a lot of events to watch.
2. Grinnell's parks have activities, like recreational sports teams.
3. The community theater gives opportunities to people of all ages.
4. The bowling alley is pretty good.
5. The movie theater is okay.
6. The traffic is nice - you can get anywhere you want in just a few minutes.
7. Friday Fest
8. Jingle Bell Holiday","1. High school activities and sports
2. Public parks
3. There are some good places where you can get jobs as high schoolers, especially in retail and food security. 
4. The local colleges provide good opportunities to high schoolers.
5. Farmers Market","1. A college student tipped $10.
2. Hearing Jake Simon's music on the radio. We can feel proud of people from our town.
3. Watching sports events around town.
4. Attending concerts, like in the park. ",,I like how calm and tranquil the town is.,,"1. Nothing to do.
2. Nowhere to eat.
3. Travel an hour to go to a big city.
4. No good coffee places.
5. People with strong opinions.","1. Nothing to do. We used to have the skating rink, but it closed down. There's really nowhere for teenagers to hang out. 
2. Nothing to eat. Not many restaurants where teenagers can hang out. We usually choose to go out of town to hang out. 
3. Everybody's gotten more racist.
4. Whenever it's snowy out and it's hard to drive normally, the roads aren't fixed fast enough.
5. The roads aren't taken care of very well.
6. The middle school building. 
7. The middle school culture, mental health.","1. Culvers, Chick-Fil-A, Texas Roadhouse, China Sea
2. China Sea
3. Another small coffee shop.
4. Skating park
5. YMCA/YWCA
6. Indoor turf
7.  ","1. More restaurants
2. More activities
3. Synagogue
4. Bigger city pool",1. More restaurants,10th grade high school students
174,"McNallys, small town, lots of fast food, diversity in community","Niceness of people, friends, social media, job opportunities. ","Helping people when the derecho hit, Christmas family share, Toys for Tots, Music at the Park, Speech stuff, Marching Band competitions. ","No. No. Yes, but I don't know what they are. No. No. ","Laziness, job opportunities from college good, ",,"A lack of child care options, small town, not much to do, no attractions or tourism.","The people, the school buildings being worn out, lack of inclusivity, lack of opportunity.","More locally owned businesses, carnival in summer, sculpture park, Target, theme park, carnival at fair.","Roads, more art throughout town, family activities, upgrade schools, more people, more trees, more school opportunities. ",We all currently live here. ,"A group of 14 high school juniors. Arts enthusiasts, sports enthusiasts, rural life enthusiasts. "
